397;"Ford";"Ka";2;20000;2010
359;"Skoda";"Fabia";2;25000;2009
445;"Hyundai";"i30 CRDi";1;20000;2008
293;"Ford";"Galaxy";1;57500;2009
753;"VW";"Golf";2;20000;1991
379;"BMW";"320d";1;60000;2009
935;"Suzuki";"Swift";2;;2010
389;"Toyota";"Yaris";1;140000;2005
353;"Fiat";"Grande Punto 1.3 JTD";1;25000;2009
909;"Citroen";"Xsara Picasso";1;15000;2003
931;"Scoda";"Superb";2;25000;2010
355;"Saab";"9-3";2;30000;2002
351;"Citroen";"C3";1;25000;
385;"Fiat Punto";"5-dørs";2;20000;2004
943;"Ford";"T";2;100000;1999
371;"Skoda";"Superb";2;10000;2010
365;"Citroen";"3c";1;25000;2009
407;"Seat";"Leon 1,9 TDI 105";1;22500;2006
439;"Citroën";"C3 Picasso";2;30000;2009
405;"VW";"Polo Blue Motion 1,9";1;40000;2011
433;"Ford";"Mondeo";2;20000;2002
401;"Audi A4";"A4 1,9 TDI";1;20000;1998
423;"Citroen";"Xsara Picasso";2;25000;2007
447;"VW";"PASSAT";1;20000;2006
457;"Toyota";"Avensis";2;20000;2009
459;"Toyota";"Verso 2.0 Diesel";1;55000;2009
437;"Peugeot";"406 HDI stationcar";1;20000;1999
945;"Citroen";"Xsara";2;15000;1999
403;"Skoda";"Fabia";1;40000;2008
415;"Citroën";"Xsara Picasso";1;45000;2006
449;"Ford";"Fiesta";1;25000;2009
923;"Kia";"Ceed";1;50000;2008
435;"Suzuki";"Splash";1;23000;2009
413;"Peugeot";"307 edition";2;11000;2004
467;"Toyota";"Corolla Verso";1;30000;2003
479;"Opel";"Astra Wagon";2;15000;2001
509;"WW ";"Beetle";1;15000;1999
475;"Mazda";"6";2;20000;2010
515;"VW";"Touran";1;30000;2005
463;"Peugeot";"Partner";1;30000;2006
485;"BMW";"520d";1;40000;2006
493;"Seat";"Toledo";1;50000;2006
535;"Opel";"Opel Vectra";2;17000;2003
451;"Toyota";"Carina E Stationcar";2;20000;1994
453;"Mazda";"Mazda 323";2;90000;1998
501;"Honda";"Civic";2;20000;2008
513;"Toyota";"Yaris 1.4 D";1;27500;2007
497;"Ford";"Ka";2;15000;2011
521;"Citroen";"C1";2;10000;2011
523;"VW";"Golf";2;20000;2002
361;"VW";"Tiguan";1;62500;2008
59;"Skoda";"Octavia II";1;30000;2005
481;"Toyota";"Yaris";1;18000;2004
483;"Hyundai";"i30 cw";1;20000;2008
489;"Peugeot";"307 st.car";2;20000;2004
473;"VW";"Passat 1,8";2;15000;1997
567;"Suzuki";"Liana";2;32000;2003
547;"Peugeot";"308 hdi";1;25000;2008
557;"Skoda";"Fabia combi 1,4 TDI.";1;30000;2005
563;"Peugeot";"206 SW";1;15000;2004
569;"Toyota";"Avensis st.car. 1,8";2;25000;2000
551;"Ford";"Mondeo";1;90000;2010
575;"Hyundai";"Atos";2;33000;2001
581;"Seat";"Altea";1;50000;2005
583;"Ford";"Fiesta";2;10000;1993
45;"Mazda";"6 - st. car";2;25000;2008
579;"Kia";"Ceed 1.6 Active CRDI SW 10 FP";1;30000;2010
537;"vw - blue motion";"Polo";1;30000;2010
561;"Opel";"Astra";1;25000;2006
507;"VW";"Touran 1.9 TDI";1;15000;2003
531;"Toyota";"Carina 1.6";2;10000;1993
533;"Fiat";"Palio";2;25000;1998
577;"Toyota";"Avensis";2;30000;2011
633;"BMW";"530D";1;50000;2004
599;"Renault";"Twingo";2;18000;2011
597;"";"";1;20000;1999
607;"Huyndai";"Getz 1.3";2;12000;2003
723;"Citroen";"Berlingo";2;10000;2000
587;"Opel";"Corsa";2;25000;2007
629;"BMW";"523i";2;30000;2007
617;"Mercedes Benz";"124 300D";1;40000;1991
623;"Citröen";"C5";2;25000;2008
627;"Ford";"Galaxy";1;42500;2004
589;"Skoda";"Octavia 1.9 TDI Tour";1;30000;2006
